id;code;name
rub1200;1200;TRAITEMENT DE BASE 
rub1201;1201;TRAITEMENT DE BASE CONVENTION 
rub1202;1202;TRAITEMENT DE BASE 
rub1203;1203;TRAITEMENT DE BASE AVANT  16/1 
rub1204;1204;MAJORATION INDICIAIRE DIRECTEU 
rub1205;1205;INDEMNITE DE SUJETIONS PARTICU 
rub1206;1206;INDEMNITE DE ZONE SAHARA 
rub1207;1207;MAJORATION DE 7,14 % DU SALAIR 
rub1208;1208;SUPPLEMENT DE SALAIRE (TEMP. E 
rub1209;1209;MAJORATION DE 33% DU TRAITEMEN 
rub1210;1210;INDEMNITE DE 2,5% DU TRAITEMEN 
rub1211;1211;TRAITEMENT DE GRADE 
rub1220;1220;4/5 DE LA DIFFERENCE DE TRAITE 
rub1222;1222;SALAIRE GLOBAL 
rub1223;1223;COOPERANT FRANCAIS 
rub1224;1224;ALLOCATION D'ENSEIGNEMENT 
rub1225;1225;INDEMNITE COMPENSATRICE DE REM 
rub1226;1226;INDEMNITE ADMINISTRATIVE 
rub1227;1227;ALLOCATION DE HIERARCHIE ADMIN 
rub1228;1228;ALLOCATION D'INSTRUCTION 
rub1229;1229;INDEMNITE DE SUJETION SPECIALE 
rub1230;1230;INDEMNITE DE SUJETIONS PARTICU 
rub1231;1231;PRIME DE RAPPORTS 
rub1232;1232;INDEMNITE ADMINISTRATIVE SPECI 
rub1233;1233;INDEMNITE DE QUALIFICATION ADM 
rub1234;1234;INDEMNITE COMPLEMENTAIRE 
rub1235;1235;COMPLEMENT DE REMUNERATION C.C 
rub1236;1236;ALLOCATION COMPLEMENTAIRE 
rub1237;1237;INDEMNITE DE RECHERCHE ET D'EN 
rub1238;1238;INDEMNITE SPECIALE COMPLEMENTA 
rub1239;1239;INDEMNITE SPECIALE 
rub1240;1240;SUPPLEMENT DE TRAITEMENT 
rub1241;1241;INDEMNITE PARTUCULIERE STATUTA 
rub1242;1242;ALLOCATION MEDICALE 
rub1243;1243;SUPPLEMENT DE LOGEMENT 15 % 
rub1244;1244;INDEMNITE DE SPECIALITE 
rub1245;1245;INDEM. ENCADREMENT RECHERCHE A 
rub1246;1246;ALLOCATION MEDICALE ET DE RECH 
rub1247;1247;PRIME MECANOGRAPHIQUE 
rub1248;1248;INDEMNITE COMPENSATOIRE 
rub1252;1252;INDEMNITE DES CADIS DU CHRAE 
rub1259;1259;ALLOCATION VIAGERE 
rub1261;1261;PRIME DE RISQUE 
rub1262;1262;INDEMNITE COMPENSATRICE HEURES 
rub1263;1263;INDEMNITE DE RISQUES PROFESSIO 
rub1264;1264;INDEMNITE COMPENSATRICE DE LOG 
rub1265;1265;INDEMNITE AUX SURVEILLANTS-CHE 
rub1266;1266;COMPENSATRICE PROM. EXCEP 
rub1267;1267;INDEMNITE DE DEPLACEMENT 
rub1268;1268;SUPPLEMENT DE TRAITEMENT 17 % 
rub1271;1271;PRIME DE RENDEMENT 
rub1275;1275;INDEMNITE POUR HEURES DE VOL D 
rub1276;1276;INDEMNITE DE REPRESENTATION 
rub1291;1291;INDEMNITE DE TECHNICITE 
rub1292;1292;PRIME DE SURCHARGE ET D'AUTOMA 
rub1293;1293;PRIME D'EXPLOITATION 
rub1294;1294;INDEMNITE D'ENSEIGNEMENT 
rub1299;1299;INDEMNITE D'INSTRUCTION 
rub1301;1301;DEDUCTION DU TRAITEMENT DE BAS 
rub1302;1302;INDEMNITE REPRESENTATIVE DE LO 
rub1303;1303;INDEMNITE REPRESENTATIVE DE LO 
rub1305;1305;INDEMNITE DE LOGEMENT 
rub1306;1306;INDEMNITE DE LOGEMENT NON SOUM 
rub1310;1310;PRIME D'AFFECTATION 
rub1311;1311;ALLOCATION EXCEPTIONNEL 
rub1312;1312;PRIME DE CONDUITE 
rub1313;1313;PRIME SPECIALE AUX MECANOGRAPH 
rub1314;1314;ALLOCATION DE RECHERCHE 
rub1315;1315;ALLOCATION SPECIALE 
rub1316;1316;INDEMNITE DE POSTE DU SUD 
rub1317;1317;ALLOCATION SPECIALE DEGRESSIVE 
rub1318;1318;INDEMNITE JOURNALIERE DIPLOMAT 
rub1319;1319;INDEMNITE DE STENO OU DE DACTY 
rub1320;1320;COMPLEMENT DE REMUNERATION SAN 
rub1321;1321;INDEMNITE DE GERANCE 
rub1322;1322;PRIME DE SUJETION 
rub1323;1323;INDEMNITE DE GRATIFICATION 
rub1324;1324;INDEMNITE DE RESPONSABILITE 
rub1325;1325;PRIME DE PRODUCTIVITE 
rub1326;1326;INDEMNITE DE REMUNERATION 
rub1327;1327;INDEMNITE DE GESTION 
rub1328;1328;INDEMNITE DE SUJETION 
rub1329;1329;INDEMNITE DE SURVEILLANCE 
rub1330;1330;INDEMNITE CHAMBRE CONSTITUTION 
